country,countryCode,year,IncomeGroup,cluster,P01_1,P01_2,P01_3,P01_4,P02_1,P02_2,P02_4,P02_5,P02_6,P02_7,P02_8,P02_9,P03_1,P03_2,P03_3,P03_4,P03_5,P04_3,P04_6,P04_7,P04_8,P04_9,P04_10,P04_11,P04_12,P04_13,P05_1,P05_2,P05_3,P06_1,P06_2,P06_3,P06_5,P06_7,P06_8,P07_1,P07_2,P07_4,P07_5,P07_8,P08_3,P08_4,P08_5,P08_6,P08_7,P09_1,P09_2,P09_3,P10_1,P10_2,P10_3,P10_4,P10_5,P10_6,P10_7,P10_8,P10_9,P11_1,P11_2,P11_3,P11_4,P11_5,P11_6,P11_7,P12_1,P12_2,P12_3,P12_4,P12_5,P12_6,P12_7,P12_8,P12_9,P13_1,P13_2,P13_3,P13_4,P13_5,P13_6,P13_7,Out_1_CompetIndex,Out_4_GDPpcPPP
Albania,ALB,2006,2,3,0.28695431,0.33958417,0.51099324,0.27849948,0.066428736,0.11127054,0.13134766,0.31107357,0.014821126,0.066317558,0.19753659,0.94187427,0.53567326,0.46797606,0.36262369,0.31551588,0.16112567,0.94639653,0.71376121,0.84073675,0.89994919,0.28046578,0.95238101,0.81584072,0.92920208,0.87948179,0.33638287,0.50397271,0.20908962,0.32838598,0.1851548,0.13083069,0.3647446,0.44020721,0.24950989,0.61985832,0.38173079,0.60626233,0.38976613,0.35593227,0.067994311,0.27388892,0.29828513,0.64320874,0.21460016,0.15365824,0.22594337,0.48902428,0.30317619,0.11360204,0.70903522,0.17048292,0.11710943,0.52007216,0.27804607,0.32994357,0.23137797,0.082309246,0.13543156,0.12752844,0.022908613,0.11974571,0.34246716,0.096337095,0.24664553,0.4121567,0.52434206,0.4039228,0.57742476,0.31281579,0.21269795,0.080999747,0.26084179,0.88777554,0.83072102,0.83534139,0.64114833,0.81818181,0.52477545,0.39151663,0.24498977,0.047140129
Albania,ALB,2007,2,3,0.32032046,0.35947779,0.50749582,0.35254765,0.11648608,0.17054729,0.15486075,0.439845,0.020745898,0.083079427,0.24121901,0.94187427,0.54798853,0.46456018,0.36643147,0.37210396,0.1886598,0.96539652,0.67202824,0.84073675,0.9100045,0.28691465,0.97619045,0.82009763,0.93030804,0.88267875,0.33638287,0.47890338,0.34745994,0.33296788,0.19960156,0.19187376,0.35048017,0.42996722,0.27505338,0.58581424,0.38173079,0.66770446,0.40713203,0.32203394,0.12373779,0.3885186,0.29114619,0.6577239,0.21460016,0.32406765,0.27726245,0.51798695,0.3843036,0.24888405,0.4406282,0.10183721,0.13609725,0.49814108,0.29132062,0.37580791,0.21245557,0.082445592,0.1386364,0.1107273,0.041157734,0.1676732,0.28814256,0.12789431,0.27836046,0.42600381,0.55659127,0.40964127,0.58616525,0.31095693,0.28748327,0.095861405,0.22400391,0.76953906,0.83072102,0.83534139,0.66028708,0.81818181,0.60378623,0.44689399,0.2422663,0.04110397
Albania,ALB,2008,2,3,0.3366383,0.34705645,0.52522326,0.42245623,0.13446164,0.19246338,0.21987082,0.56292659,0.021788578,0.109535,0.19373831,0.94187427,0.5192529,0.46370623,0.37328377,0.34114066,0.17948177,0.96677196,0.73883152,0.84073675,0.9140411,0.29463947,1,0.82418716,0.93233567,0.8876372,0.39694604,0.52520579,0.50226104,0.35313964,0.15556461,0.19074281,0.40393904,0.4361051,0.26196209,0.58062398,0.46153849,0.75282967,0.44121781,0.2912173,0.19511904,0.46352345,0.25811657,0.64634877,0.23392363,0.42062593,0.34646499,0.51583689,0.33632186,0.29845998,0.18737189,0.15483643,0.1946664,0.45109314,0.3026062,0.4188261,0.28954607,0.11262654,0.15372747,0.10945376,0.084821135,0.27161229,0.26408136,0.17459148,0.30774587,0.43434134,0.57536161,0.42462245,0.60294706,0.32491153,0.35521486,0.13689116,0.22939962,0.78757513,0.83072102,0.83534139,0.91866028,0.81818181,0.70579368,0.57128572,0.27511361,0.046050709
Albania,ALB,2009,2,3,0.32716715,0.44413972,0.55307359,0.41882733,0.30247393,0.2817536,0.35881758,0.638004,0.020520814,0.26776308,0.25711671,0.94306052,0.50041056,0.44035333,0.37447244,0.32832825,0.17438285,0.97026968,0.85209942,0.85157096,0.91807765,0.31130889,0.97619045,0.82832789,0.93436319,0.89259577,0.44648737,0.54761624,0.51812452,0.43847802,0.27446032,0.27482611,0.43194973,0.49274835,0.2778675,0.53368384,0.46153849,0.65895087,0.45567083,0.26348233,0.17790648,0.35626015,0.21074563,0.60067099,0.27027407,0.46985674,0.41280538,0.54697305,0.37805527,0.34502143,0.14503033,0.18657865,0.22305188,0.40706021,0.36134288,0.49070144,0.3001129,0.17658202,0.21509406,0.14365494,0.15562806,0.39175782,0.252911,0.18126816,0.31934768,0.45720372,0.59504545,0.44624552,0.59466374,0.33191946,0.41330487,0.27381012,0.32305428,0.83917832,0.83072102,0.83534139,0.94736844,0.81818181,0.8171832,0.63679135,0.33308846,0.050929394
Albania,ALB,2010,2,3,0.39957643,0.50728875,0.62579983,0.43323493,0.45100215,0.40510595,0.41569978,0.66260314,0.029718259,0.49176857,0.28106964,0.94306052,0.5470444,0.44282466,0.37151971,0.42975971,0.22027308,0.97269297,0.9570477,0.87757313,0.92211425,0.26870257,1,0.83264142,0.9363907,0.89755428,0.48582962,0.53455585,0.57888877,0.45826402,0.40989974,0.33348194,0.44930744,0.61404675,0.29643479,0.57623816,0.46153849,0.6646297,0.46783727,0.27426809,0.13046142,0.26378301,0.1694328,0.5611763,0.26347646,0.57013148,0.442812,0.56178313,0.42586502,0.38649997,0.19735561,0.22484863,0.20176941,0.55629963,0.4308635,0.58370572,0.3517054,0.22932865,0.20158321,0.2475612,0.15972255,0.45590639,0.2278623,0.18126816,0.32050425,0.45063403,0.59225082,0.46629745,0.59108925,0.35476959,0.43228626,0.34418246,0.38020408,0.84118235,0.83072102,0.83534139,0.94736844,0.81818181,0.86484528,0.68234676,0.3734844,0.053573132
Albania,ALB,2011,2,3,0.48914498,0.48549035,0.68596268,0.47855818,0.50689715,0.5336234,0.47398651,0.68266499,0.030598024,0.66407752,0.32324013,0.94306052,0.49051726,0.5100854,0.3710542,0.46779227,0.28634372,0.97376734,0.99543166,0.86782229,0.9261508,0.31317014,1,0.83715206,0.93841833,0.90251291,0.53953677,0.60072023,0.65106279,0.42288247,0.3569515,0.40767851,0.50322938,0.74494666,0.4001514,0.69075239,0.46153849,0.65580368,0.50669408,0.28351313,0.06092298,0.1924022,0.12531765,0.60281199,0.27037638,0.61946487,0.52508503,0.63659132,0.39593837,0.3960647,0.15480916,0.2648614,0.20370285,0.7171824,0.48413318,0.65570575,0.45157689,0.18899705,0.1433375,0.3585034,0.12425155,0.47378969,0.237259,0.29828328,0.28508756,0.46467608,0.59258622,0.45556241,0.57581294,0.37025321,0.37592641,0.30882964,0.32974097,0.85370743,0.83072102,0.87148595,0.95215309,0.81818181,0.8489942,0.70995945,0.40278473,0.056230303
Albania,ALB,2012,2,3,0.33695751,0.44100279,0.59857607,0.46828496,0.49844864,0.54933703,0.44688216,0.63245755,0.029130081,0.63723201,0.36400214,0.94424671,0.49761909,0.50318527,0.36954868,0.51963812,0.31254497,0.9755162,0.94463623,0.83640301,0.9301874,0.30419567,1,0.84172463,0.94044602,0.90747118,0.5396142,0.59376591,0.62721854,0.38018656,0.30568001,0.38467437,0.45012718,0.67877609,0.40290147,0.61623061,0.79975581,0.57424438,0.48865724,0.2912173,0.09540718,0.12057771,0.099204563,0.50683933,0.19593768,0.5314486,0.49906695,0.5871501,0.36408097,0.37739646,0.049264662,0.21710074,0.19545341,0.61427301,0.44984588,0.57377887,0.44674411,0.18859863,0.19064593,0.29429722,0.17248301,0.4905358,0.27517352,0.29533759,0.27239969,0.45105371,0.5851177,0.44353729,0.56531662,0.3137022,0.29185566,0.26448792,0.26016957,0.88827658,0.79310346,0.87148595,0.96172249,0.81818181,0.75959468,0.59158713,0.38320425,0.058837879
Albania,ALB,2013,2,3,0.19869705,0.35120803,0.52910465,0.37696898,0.4295536,0.46826556,0.40398547,0.5553928,0.0315843,0.57136202,0.38199291,0.94424671,0.55525458,0.51748079,0.3734329,0.44073567,0.29336706,0.97726506,0.87694204,0.87540627,0.93466622,0.31273526,1,0.84628594,0.94228095,0.91233832,0.52962667,0.56560236,0.6337992,0.27233541,0.24077767,0.31767011,0.40629148,0.55935115,0.33707026,0.58711743,0.79975581,0.61569321,0.42424181,0.29892147,0.11379834,0.13881572,0.10252705,0.45230195,0.12950759,0.46843639,0.39458576,0.49395546,0.3198851,0.33138338,0.171611,0.18752539,0.18591258,0.49694094,0.42709878,0.47178969,0.40624964,0.31207195,0.27288371,0.30068523,0.24103351,0.44808921,0.32131374,0.26709047,0.27282771,0.44081327,0.58661097,0.4428091,0.57513487,0.25711033,0.2444073,0.21182024,0.21595465,0.89428854,0.74608147,0.87148595,0.96172249,0.81818181,0.67923194,0.50727576,0.34732804,0.061804526
Albania,ALB,2014,2,3,0.21010861,0.32368916,0.53076237,0.36288437,0.43067077,0.4855321,0.4507041,0.57737523,0.024437631,0.60961825,0.38199291,0.94424671,0.55886704,0.6020239,0.3734329,0.45549259,0.31299287,0.97201848,0.88521016,0.85157096,0.93466622,0.31273526,1,0.84628594,0.94228095,0.91233832,0.52081847,0.55752498,0.64384985,0.29008272,0.20655066,0.32660139,0.5008716,0.60524654,0.28503835,0.58994472,0.79975581,0.59080005,0.41320258,0.29892147,0.085704572,0.14054981,0.12343259,0.53018868,0.13571477,0.45631692,0.3499071,0.47640738,0.37853009,0.40457714,0.30847836,0.28542778,0.21720633,0.4568066,0.45376635,0.46413547,0.40606737,0.36535874,0.2243363,0.32300517,0.18674302,0.40071759,0.29117236,0.26945111,0.30599535,0.49130946,0.59033448,0.47987303,0.59998971,0.24316014,0.28013185,0.20754437,0.2420146,0.94989979,0.74608147,0.91566265,0.96172249,0.81818181,0.72002095,0.52595216,0.36014757,0.06280826
Albania,ALB,2015,2,3,0.34455925,0.40910777,0.64400524,0.44929308,0.45661142,0.55796582,0.52411902,0.62099499,0.024511043,0.61872411,0.38199291,0.94424671,0.57159281,0.61967552,0.3734329,0.48512861,0.36044952,0.96852082,0.88521016,0.86998916,0.93466622,0.31273526,1,0.84628594,0.94228095,0.91233832,0.62436515,0.66433167,0.62057722,0.42431617,0.19543545,0.28946105,0.65820426,0.75953031,0.28606662,0.66586053,0.80000001,0.59312636,0.46036905,0.29892147,0.072090767,0.14054981,0.1117624,0.58472842,0.27894232,0.44605824,0.3499071,0.52554905,0.45751745,0.37709558,0.267988,0.374892,0.23548287,0.32065442,0.48187962,0.48273396,0.40606737,0.44539744,0.16444573,0.27273026,0.18674302,0.48305443,0.25522497,0.33434954,0.30599535,0.49130946,0.59033448,0.47987303,0.59998971,0.29655531,0.36962062,0.25090566,0.26967585,0.94989979,0.74608147,0.91566265,0.96172249,0.81818181,0.77642775,0.60430932,0.37609485,0.075127453
